,X,Y,OBJECTID,Geocode_Address,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Statute_Category,Statute_Description,Statute_CrimeCategory,Weapon_Description,Larceny_Type,Location_Type,Latitude,Longitude
3911,-77.5763748231232,43.1812135864843,46186,"1435 N Goodman St, Rochester, NY, 14609",2018,9,2133,2018-09-25T21:33:00.000Z,2018,9,2133,2018-09-25T21:33:00.000Z,F,Grand Larceny 4th: Property Taken From Person               ,6,* No Weapon Specified *,All Other Larcenies,Gas Station,43.1812469,-77.5762256
3912,-77.5763748231232,43.1812135864843,46187,"1435 N Goodman St, Rochester, NY, 14609",2018,9,2304,2018-09-11T23:04:00.000Z,2018,9,2304,2018-09-11T23:04:00.000Z,F,Robbery 1st: Use/Threatens Use of Dangerous Instrument      ,3,Unknown,* No Larceny Type Specified *,Gas Station,43.1812469,-77.5762256
3913,-77.61830636289021,43.1745995434068,46204,"209 Clifford Ave, Rochester, NY, 14605",2018,1,1422,2018-01-15T14:22:00.000Z,2018,1,1422,2018-01-15T14:22:00.000Z,F,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,7,* No Weapon Specified *,Motor Vehicle Theft,Single Family Home,43.1746276,-77.6183272
3914,-77.58972390302121,43.1738397400706,46214,"59 Miller St, Rochester, NY, 14605",2018,8,2352,2018-08-26T23:52:00.000Z,2018,8,2352,2018-08-26T23:52:00.000Z,F,Assault 2nd: With Intent To Cause Serious Physical Injury   ,4,Personal Weapons,* No Larceny Type Specified *,Street,43.1738151,-77.5897576
3915,-77.65162451303951,43.164776643680604,46225,"1020 Lyell Ave, Rochester, NY, 14606",2018,5,0,2018-05-19T00:00:00.000Z,2018,5,9,2018-05-19T00:09:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Street,43.1647398,-77.6516728
3916,-77.64140523734679,43.1807784896511,46228,"419 Driving Park Ave, Rochester, NY, 14613",2018,7,1605,2018-07-18T16:05:00.000Z,2018,7,1605,2018-07-18T16:05:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.1807289,-77.64138059999999
3917,-77.58966451370291,43.136114416194,46231,"334 Crosman Ter, Rochester, NY, 14620",2018,2,2130,2018-02-11T21:30:00.000Z,2018,2,2246,2018-02-11T22:46:00.000Z,M,Unauthorized Use of a Vehicle: Without Owner Consent        ,7,* No Weapon Specified *,Motor Vehicle Theft,Street,43.1360499,-77.5897128
3918,-77.639377705548,43.1905501493112,46268,"1325 Dewey Ave, Rochester, NY, 14613",2018,5,726,2018-05-03T07:26:00.000Z,2018,5,726,2018-05-03T07:26:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Department/Discount Store,43.190551,-77.63934069999999
3919,-77.639377705548,43.1905501493112,46269,"1325 Dewey Ave, Rochester, NY, 14613",2018,3,1629,2018-03-31T16:29:00.000Z,2018,3,1633,2018-03-31T16:33:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Variety/Convenience Store,43.190551,-77.63934069999999
3920,-77.639377705548,43.1905501493112,46270,"1325 Dewey Ave, Rochester, NY, 14613",2018,3,1114,2018-03-05T11:14:00.000Z,2018,3,1119,2018-03-05T11:19:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,Department/Discount Store,43.190551,-77.63934069999999
